Asset ID,Asset Name,Solo,Entity Code,SubEntity Code,Fund/LoB Name,Fund/LoB Type,Rating,Credit Quality Step,Market Value (MVi),Modified Duration,Duration,Category,Duration Class,Corrected Duration,Multiplication Factor,Step Up Factor,"F(Rating, Duration)",Capital Charge,Capital Charge UL,Credit Spread Relief Factor,LAC of TP,LAC of TP UL
15802732,DEUT PFANDBRIEFBANK AG EMTN PF FIX 3.375% 22.11.2021_15802732,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AA,1,199.7898377,0.131508136,1,Covered Bond,1,1,0.009,0,0.009,1.798108539,0,0.054776305,0.098493742,0
15653146,TORONTO-DOMINION BANK 144A COV FIX 3.350% 22.10.2021_15653146,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,133.6274131,0.049313451,1,Covered Bond,1,1,0.007,0,0.007,0.935391892,0,0.054776305,0.051237312,0
22246375,PACIFIC GAS & ELECTRIC MBS VAR 15.11.2021_22246375,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,12478.31285,0.112328066,1,Covered Bond,1,1,0.025,0,0.025,311.9578213,0,0.054776305,17.08789676,0
24728975,SOUTHERN CAL EDISON F MBS VAR 13.06.2022_24728975,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,1311.824722,0.689662453,1,Covered Bond,1,1,0.014,0,0.014,18.36554611,0,0.054776305,1.005996754,0
9443127,BANCA MONTE DEI PASCHI S COV FIX 1.250% 20.01.2022_9443127,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AA,1,13.9354415,0.295891701,1,Covered Bond,1,1,0.009,0,0.009,0.125418974,0,0.054776305,0.006869988,0
24139379_LU0003_LU0003_LXEUR,LU0003 LLOYDS BANK PLC SEC COVERED AV4989670_IE00BDQZ6S97_USD LU0003_LXEUR_24139379_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,1525.739679,0.126029497,1,Covered Bond,1,1,0.014,0,0.014,21.3603555,0,0.054776305,1.170041347,0
24394886_LU0003_LU0003_LXEUR,LU0003 NYKREDIT REALKREDIT IO **PARTIAL CALL** AO7057240_IE00B5ZR2157_DKK LU0003_LXEUR_24394886_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,8.574113368,21.78550599,21.78550599,Covered Bond,5,1.78550599,0.005,0.355,0.36392753,3.1203559,0,0.054776305,0.170921566,0
17809766,TORONTO-DOMINION BANK EMTN COV VAR 24.06.2022_17809766,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,6.185924804,0.719398518,1,Covered Bond,1,1,0.007,0,0.007,0.043301474,0,0.054776305,0.002371895,0
16168539,PKO BANK HIPOTECZNY COV FIX 0.250% 23.11.2021_16168539,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AA,1,2.17540264,0.136989281,1,Covered Bond,1,1,0.009,0,0.009,0.019578624,0,0.054776305,0.001072445,0
15802732,DEUT PFANDBRIEFBANK AG EMTN PF FIX 3.375% 22.11.2021_15802732,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AA,1,423.767845,0.131508136,1,Covered Bond,1,1,0.009,0,0.009,3.813910605,0,0.054776305,0.20891193,0
